"","ID","K.age","K.age.uncertainty","B12.age","B12.age.uncertainty","B20.age","B20.age.uncertainty"
"1","A-baseFamennian-D27",373.289998029256,0.379073382239294,373.289998029256,0.379073382239294,373.289998029256,0.379073382239294
"2","A-baseFrasnian-D27",379.790828216728,0.600216023410323,379.790828216728,0.600216023410323,379.790828216728,0.600216023410323
"3","A-baseGivetian-D27",384.142465336217,0.794035852098632,384.142465336217,0.794035852098632,384.142465336217,0.794035852098632
"4","A-baseEifelian-D27",389.143900901658,1.40955438872092,389.143900901658,1.40955438872092,389.143900901658,1.40955438872092
"5","A-baseCarboniferous-D15",363.536816473022,0.837634181430607,363.536816473022,0.837634181430607,363.536816473022,0.837634181430607
"6","A-baseFamennian-D15",377.937215743427,0.772912806962248,377.937215743427,0.772912806962248,377.937215743427,0.772912806962248
"7","A-baseFrasnian-D15",384.437398867025,0.622710351756059,384.437398867025,0.622710351756059,384.437398867025,0.622710351756059
"8","A-baseGivetian-D15",388.786352116165,0.344838008034431,388.786352116165,0.344838008034431,388.786352116165,0.344838008034431
"9","A-D15",390.14,0.14,390.14,0.14,390.14,0.14
"10","A-baseEifelian-D15",393.788519419827,0.861469350672827,393.788519419827,0.861469350672827,393.788519419827,0.861469350672827
"11","A-baseCarboniferous-D14",362.605593440704,1.04796058541199,362.605593440704,1.04796058541199,362.605593440704,1.04796058541199
"12","A-baseFamennian-D14",377.007361263709,0.999238053783699,377.007361263709,0.999238053783699,377.007361263709,0.999238053783699
"13","A-baseFrasnian-D14",383.508085816587,0.881517975571404,383.508085816587,0.881517975571404,383.508085816587,0.881517975571404
"14","A-baseGivetian-D14",387.858110809572,0.713631317194869,387.858110809572,0.713631317194869,387.858110809572,0.713631317194869
"15","A-D14",390.82,0.18,390.82,0.18,390.82,0.18
"16","A-baseEifelian-D14",392.86004165623,0.508447087643819,392.86004165623,0.508447087643819,392.86004165623,0.508447087643819
"17","A-baseEmsian-D6",411.534516122975,2.00887985562418,412.775777225465,1.55307883167939,410.574945487792,2.3852482955194
"18","A-basePragian-D6",413.233396136937,1.84106132880778,414.474223985208,1.32225052722624,412.271043101168,2.24330172353556
"19","A-baseLochkovian-D6",420.936803486871,1.40320777225012,422.176738932511,1.92015820994814,419.973151954342,1.00222847396934
"20","A-baseEmsian-D5",411.600392290943,2.01612420512873,412.851990144392,1.55771676516775,410.645199783763,2.39770702712537
"21","A-basePragian-D5",413.296839684507,1.85115200348187,414.551636280461,1.33263190017487,412.343736262477,2.25330969661082
"22","A-baseLochkovian-D5",421.005279643627,1.41528113899672,422.243259914107,1.92243909317057,420.041779870024,1.01690185077873
