"","newPositions","0.025","0.5","0.975","ids"
"1",105,355.209948605709,356.770013515775,357.885621813401,"baseNextZone"
"2",102.8,356.877289367805,357.859989241263,358.351414774733,"sandbergi"
"3",102.2,357.386524963063,358.181167164982,358.452331010856,"upper duplicata"
"4",101.3,358.36429210308,358.53051824109,358.702075500151,"lower duplicata"
"5",100,358.647947754414,358.837256067833,359.022599081017,"baseCb"
"6",100,358.647947754414,358.837256067833,359.022599081017,"sulcata"
"7",99.3,358.799371957857,358.96814014251,359.109747628574,"kockeli"
"8",98.6,358.924289545566,359.081812156215,359.224380582166,"Bi. costatus - kockeli Interregnum"
"9",97,359.345480784323,360.17416318414,361.7027413866,"praesulcata"
"10",95.8,360.320578228287,361.634196897426,362.972026897087,"ultimus"
"11",94.7,361.651501025287,362.899367039292,364.36590588521,"Bi. costatus"
"12",94.3,361.93474660252,363.188058264893,364.739501615648,"aculeatus"
"13",93.1,362.492282760085,363.960391291053,365.70382920499,"expansa"
"14",92,363.002749630751,364.654834321489,366.546676210582,"manca"
"15",90.9,363.558057787424,365.356014525931,367.259527164148,"styriacus"
"16",90,364.038492723041,365.90979563218,367.852138030268,"sigmoidalis"
"17",89.6,364.272081774442,366.160427935857,368.122593374064,"granulosus"
"18",88.7,364.8121192173,366.750244709269,368.676998286848,"trachytera"
"19",87.8,365.357446079703,367.312910367486,369.191019254553,"velifer"
"20",86.7,366.082080907241,368.006870172072,369.798841948886,"utahensis"
"21",85.6,366.797646093707,368.723410232406,370.396175570888,"marginifera"
"22",85,367.200378201794,369.118652383454,370.715915934422,"gracilis"
"23",84.4,367.652798693565,369.493742878427,370.982175955989,"rhomboidea"
"24",83.8,368.137961818331,369.873115893659,371.236864079497,"pectinata"
"25",83.2,368.616995310051,370.261838758204,371.470281550606,"prima"
"26",82.6,369.125051852168,370.647008639386,371.685016263121,"termini"
"27",82,369.627818317123,371.015517018737,371.870444218165,"crepida"
"28",81.4,370.251626878682,371.403080320827,372.009443528348,"minuta"
"29",80.8,370.886954022727,371.842854985792,372.210948966229,"platys"
"30",80.5,371.280510351209,372.044045232194,372.331189217548,"triangularis"
"31",80.2,371.643376728032,372.164017002616,372.3773602042,"subperlobata"
"32",80.1,371.756060086629,372.19527456056,372.388333169467,"ultima"
"33",79.2,372.193394635122,372.365477855534,372.503607112081,"linguiformis"
"34",78.3,372.398383066251,372.749822227332,373.675155858907,"bogartensis"
"35",77.2,372.715853145778,373.533254934115,374.517758263405,"winchelli"
"36",76.3,373.166818475833,374.153546978617,374.933426945142,"feisti"
"37",75.7,373.601226631258,374.558801624701,375.11455031621,"plana"
"38",75.1,374.2612603491,375.018271113846,375.292284662418,"proversa"
"39",74.4,375.150497529613,375.338279078115,375.532133173911,"housei"
"40",73.4,375.402059214842,375.916306833352,377.287799802061,"nonaginta"
"41",72.5,375.700515428735,376.77750275093,378.58539987317,"primus"
"42",71.4,376.241125141806,377.795577122154,379.730186398337,"punctata"
"43",71.1,376.458088466362,378.076292643208,380.001016217552,"nodosa"
"44",70.1,377.199589028226,379.005526826529,380.842386292318,"transitans"
"45",69,378.151771822758,379.981844113506,381.68227283205,"rugosa"
"46",68.6,378.584376547375,380.351114961374,381.926098768915,"rotundiloba"
"47",68.2,379.050386253941,380.711077694601,382.223850061375,"soluta"
"48",67.2,380.40017929362,381.964144192776,383.423601853367,"pristina"
"49",66.7,381.122233453443,382.53063605555,383.931011519846,"norrisi"
"50",66.5,381.401023826022,382.743057026244,384.112440481665,"dengleri"
"51",66.2,381.560822001708,382.894644465855,384.263950911742,"sagitta"
"52",65.8,381.715363372024,383.072434309664,384.447026241498,"disparilis"
"53",65.3,381.913268724455,383.289020781953,384.714020203646,"ectypus"
"54",64.8,382.117498589939,383.505513595956,384.930605452631,"hermanni"
"55",63.8,382.49601017877,383.943606281965,385.34904440518,"semialternans"
"56",61.8,383.323317488461,384.819644757715,386.179366720666,"ansatus"
"57",60.2,384.035118918316,385.529572660014,386.844816884616,"rhenanus - varcus"
"58",58.4,384.816467191748,386.342464364225,387.496507275052,"timorensis"
"59",56.5,386.040988115132,387.587755052153,388.717898519122,"hemiansatus"
"60",54.5,387.894217141161,388.960606657673,389.668500413045,"ensensis"
"61",53.1,388.773879701994,389.629033839864,390.043321438479,"eiflius"
"62",51.1,389.895968465338,390.154267502818,390.463713644593,"kockelianus"
"63",49.2,390.017949992543,390.332352922234,390.746096082746,"australis"
"64",46.8,390.443085483539,390.948413773451,391.667158719192,"pseudofoliatus"
"65",44.4,391.147669962288,391.913100757614,392.82252297339,"P. costatus"
"66",41.4,392.467037698163,393.485055425334,394.200312309247,"partitus"
"67",39.2,394.384103219094,395.45991859197,397.0910236922,"patulus"
"68",37,395.330176847233,397.063476335377,399.250083420989,"cooperi"
"69",34.8,396.579550790479,398.682084208382,401.161636774296,"serotinus"
"70",31.1,399.075680845795,401.422307589446,403.956628613873,"laticostatus"
"71",28.5,400.980408680439,403.366974838521,405.739296460069,"inversus"
"72",26.1,402.997111613391,405.160824841032,407.170203730134,"catharinae"
"73",25,404.004981715266,405.983270009219,407.829156573135,"nothoperbonus"
"74",22.2,405.795334828813,407.449659376091,409.053575900457,"gronbergi"
"75",19.6,406.750444712796,408.379535206591,409.976559417597,"excavatus (M114)"
"76",16.9,407.708725840637,409.337858042338,410.948984411662,"excavatus s. str."
"77",14.2,408.757740308185,410.56919262812,412.192724044854,"kitabicus"
"78",13.6,409.253448839767,411.014261456807,412.678610209897,"serratus"
"79",12,410.308894373486,412.026284050931,413.683744505494,"profunda"
"80",10.9,411.400868262061,413.000878755754,414.690238481647,"irregularis"
"81",9.6,412.374146238128,413.928691004517,415.366419255152,"gilberti"
"82",8.5,412.962064295652,414.537238222756,415.899941199754,"pandora beta"
"83",8,413.236970359391,414.816793724567,416.146104973449,"kutscheri"
"84",7.4,413.566767522741,415.145389669498,416.39831106288,"trigonicus"
"85",6.7,413.948768007561,415.532196760359,416.6797082679,"eleanorae"
"86",6,414.371360550502,415.924182050877,416.953741302798,"transitans"
"87",5.1,414.988863428077,416.447978055259,417.304240914478,"eoeleanorae"
"88",4.5,415.371146031784,416.8306313657,417.440038704037,"carlsi"
"89",3.8,416.551711134411,417.426533095566,417.873954104723,"omoalpha"
"90",2.3,417.784687766643,418.296023605342,419.320697029278,"postwoschmidti"
"91",0,418.473515012308,419.72680749051,421.087155823958,"hesperius"
"92",0,418.473515012308,419.72680749051,421.087155823958,"baseD"
"93",-2.9,420.123376463117,421.354399408908,422.313070656398,"detortus"
"94",-6.2,422.299865422869,422.948312481276,423.469662285316,"eost. s.l. I.Z."
"95",-6.8,422.869185920163,423.212617219696,423.76890962898,"crispa"
"96",-8.1,423.26793837975,423.783532690771,424.280159290483,"latialata/snajdri I.Z."
"97",-9.4,423.870508005292,424.437122754538,425.475158330503,"siluricus"
"98",-10.1,424.057904310444,424.801537104222,426.027018526561,"ploeckensis"
