"","ids","y0","x0","y.rescale"
"1","baseNextZone",105,356.770013515775,103.395069439267
"2","sandbergi",102.8,357.859989241263,101.604982798752
"3","upper duplicata",102.2,358.181167164982,101.077506546726
"4","lower duplicata",101.3,358.53051824109,100.503761022337
"5","baseCb",100,358.837256067833,100
"6","sulcata",100,358.837256067833,100
"7","kockeli",99.3,358.96814014251,99.785046741816
"8","Bi. costatus - kockeli Interregnum",98.6,359.081812156215,99.5983611593986
"9","praesulcata",97,360.17416318414,97.8043735171794
"10","ultimus",95.8,361.634196897426,95.4065340206291
"11","Bi. costatus",94.7,362.899367039292,93.3287224547602
"12","aculeatus",94.3,363.188058264893,92.8545996884471
"13","expansa",93.1,363.960391291053,91.5861833376687
"14","manca",92,364.654834321489,90.445687120814
"15","styriacus",90.9,365.356014525931,89.2941263225167
"16","sigmoidalis",90,365.90979563218,88.3846417010842
"17","granulosus",89.6,366.160427935857,87.9730237833606
"18","trachytera",88.7,366.750244709269,87.0043571408402
"19","velifer",87.8,367.312910367486,86.0802812607091
"20","utahensis",86.7,368.006870172072,84.9405786543145
"21","marginifera",85.6,368.723410232406,83.7637920898014
"22","gracilis",85,369.118652383454,83.1146788317589
"23","rhomboidea",84.4,369.493742878427,82.4986609991265
"24","pectinata",83.8,369.873115893659,81.875609906832
"25","prima",83.2,370.261838758204,81.2372033896834
"26","termini",82.6,370.647008639386,80.6046320006972
"27","crepida",82,371.015517018737,79.9994240943475
"28","minuta",81.4,371.403080320827,79.3629219473701
"29","platys",80.8,371.842854985792,78.6406721447529
"30","triangularis",80.5,372.044045232194,78.310253802524
"31","subperlobata",80.2,372.164017002616,78.1132220169072
"32","ultima",80.1,372.19527456056,78.0618871701007
"33","linguiformis",79.2,372.365477855534,77.7823592527535
"34","bogartensis",78.3,372.749822227332,77.1511436126017
"35","winchelli",77.2,373.533254934115,75.864498057694
"36","feisti",76.3,374.153546978617,74.8457813320675
"37","plana",75.7,374.558801624701,74.1802243742382
"38","proversa",75.1,375.018271113846,73.4256294094049
"39","housei",74.4,375.338279078115,72.9000746027231
"40","nonaginta",73.4,375.916306833352,71.9507692757322
"41","primus",72.5,376.77750275093,70.5364118080598
"42","punctata",71.4,377.795577122154,68.864410048421
"43","nodosa",71.1,378.076292643208,68.4033859244197
"44","transitans",70.1,379.005526826529,66.8772879952846
"45","rugosa",69,379.981844113506,65.2738646424023
"46","rotundiloba",68.6,380.351114961374,64.6674045203619
"47","soluta",68.2,380.711077694601,64.076231281577
"48","pristina",67.2,381.964144192776,62.0182977463527
"49","norrisi",66.7,382.53063605555,61.0879380220017
"50","dengleri",66.5,382.743057026244,60.7390752602787
"51","sagitta",66.2,382.894644465855,60.4901204953493
"52","disparilis",65.8,383.072434309664,60.1981330530796
"53","ectypus",65.3,383.289020781953,59.8424292135401
"54","hermanni",64.8,383.505513595956,59.486879190678
"55","semialternans",63.8,383.943606281965,58.7673917322026
"56","ansatus",61.8,384.819644757715,57.328658065618
"57","rhenanus - varcus",60.2,385.529572660014,56.1627307665799
"58","timorensis",58.4,386.342464364225,54.827704172989
"59","hemiansatus",56.5,387.587755052153,52.7825409900904
"60","ensensis",54.5,388.960606657673,50.5278822293624
"61","eiflius",53.1,389.629033839864,49.4301123056675
"62","kockelianus",51.1,390.154267502818,48.5675116612517
"63","australis",49.2,390.332352922234,48.2750387898707
"64","pseudofoliatus",46.8,390.948413773451,47.2632710286989
"65","P. costatus",44.4,391.913100757614,45.678948330267
"66","partitus",41.4,393.485055425334,43.097299047276
"67","patulus",39.2,395.45991859197,39.8539459259384
"68","cooperi",37,397.063476335377,37.2203943461678
"69","serotinus",34.8,398.682084208382,34.5621256692159
"70","laticostatus",31.1,401.422307589446,30.0618077705968
"71","inversus",28.5,403.366974838521,26.8680459450657
"72","catharinae",26.1,405.160824841032,23.921973982638
"73","nothoperbonus",25,405.983270009219,22.5712575641882
"74","gronbergi",22.2,407.449659376091,20.1629800640084
"75","excavatus (M114)",19.6,408.379535206591,18.6358283462296
"76","excavatus s. str.",16.9,409.337858042338,17.0619576026353
"77","kitabicus",14.2,410.56919262812,15.0397147760551
"78","serratus",13.6,411.014261456807,14.3087702736099
"79","profunda",12,412.026284050931,12.6467074558057
"80","irregularis",10.9,413.000878755754,11.046113130422
"81","gilberti",9.6,413.928691004517,9.52235046986038
"82","pandora beta",8.5,414.537238222756,8.52292248259414
"83","kutscheri",8,414.816793724567,8.06380347895617
"84","trigonicus",7.4,415.145389669498,7.52414447794035
"85","eleanorae",6.7,415.532196760359,6.8888842701972
"86","transitans",6,415.924182050877,6.24511981248816
"87","eoeleanorae",5.1,416.447978055259,5.38488026047378
"88","carlsi",4.5,416.8306313657,4.7564418806528
"89","omoalpha",3.8,417.426533095566,3.77778180524899
"90","postwoschmidti",2.3,418.296023605342,2.34980198036885
"91","hesperius",0,419.72680749051,0
"92","baseD",0,419.72680749051,0
"93","detortus",-2.9,421.354399408908,-2.67302333548196
"94","eost. s.l. I.Z.",-6.2,422.948312481276,-5.29073529940092
"95","crispa",-6.8,423.212617219696,-5.72480770138873
"96","latialata/snajdri I.Z.",-8.1,423.783532690771,-6.66243239681739
"97","siluricus",-9.4,424.437122754538,-7.73583505539614
"98","ploeckensis",-10.1,424.801537104222,-8.33431926355468
